Date,Country,State,Tested,Confirmed,Recovered,Death,Active,First Dose Vaccinated,Second Dose Vaccinated,Total Vaccinated,Non-Vaccinated,Male Vaccinated,Female Vaccinated,Transgender Vaccinated,Covishield Doses,Covaxin Doses
3/21/2021,India,Uttar Pradesh,33580378,607050,595518,8758,2774,3522238,894606,4416844,220583156,2049491,1472366,381,3962317,454527
3/22/2021,India,Uttar Pradesh,33715631,607538,595743,8759,3036,3797621,952102,4749723,220250277,2207786,1589409,426,4266599,483124
3/23/2021,India,Uttar Pradesh,33835134,608076,595920,8760,3396,3982323,977876,4960199,220039801,2314924,1666947,452,4457585,502614
3/24/2021,India,Uttar Pradesh,33972718,608709,596101,8764,3844,4087684,982809,5070493,219929507,2376980,1710235,469,4556284,514209
3/25/2021,India,Uttar Pradesh,34115701,609443,596286,8769,4388,4337751,1006786,5344537,219655463,2518497,1818750,504,4805583,538954
3/26/2021,India,Uttar Pradesh,34260584,610273,596451,8773,5049,4549205,1014440,5563645,219436355,2634688,1913991,526,5005604,558041
3/27/2021,India,Uttar Pradesh,34400505,611301,596698,8779,5824,4627476,1017283,5644759,219355241,2678999,1947941,536,5076873,567886
3/28/2021,India,Uttar Pradesh,34546987,612403,596953,8783,6667,4631003,1017592,5648595,219351405,2680872,1949592,539,5080135,568460
3/29/2021,India,Uttar Pradesh,34666170,613798,597320,8786,7692,4631064,1017594,5648658,219351342,2680908,1949617,539,5080198,568460
3/30/2021,India,Uttar Pradesh,34730690,615078,597619,8790,8669,4659569,1018413,5677982,219322018,2696915,1962110,544,5105110,572872
3/31/2021,India,Uttar Pradesh,34798213,615996,598001,8800,9195,4726820,1021066,5747886,219252114,2734855,1991413,552,5164220,583666
4/1/2021,India,Uttar Pradesh,34922434,617194,598535,8811,9848,4929565,1033825,5963390,219036610,2847676,2081317,572,5347272,616118
4/2/2021,India,Uttar Pradesh,35070062,619783,599045,8820,11918,5281547,1054168,6335715,218664285,3038247,2242682,618,5659424,676291
4/3/2021,India,Uttar Pradesh,35236205,622736,599827,8836,14073,5511428,1066273,6577701,218422299,3163765,2347011,652,5866976,710725
4/4/2021,India,Uttar Pradesh,35413966,625923,600577,8850,16496,5663490,1073973,6737463,218262537,3245840,2416985,665,6008206,729257
4/5/2021,India,Uttar Pradesh,35575232,630059,601440,8881,19738,5917539,1106521,7024060,217975940,3382139,2534709,691,6270097,753963
4/6/2021,India,Uttar Pradesh,35754807,634033,602319,8894,22820,6199023,1141236,7340259,217659741,3531382,2666896,745,6559849,780410
4/7/2021,India,Uttar Pradesh,35942111,639928,603495,8924,27509,6619721,1171936,7791657,217208343,3756137,2862783,801,6974029,817628
4/8/2021,India,Uttar Pradesh,36147340,645930,604979,8964,31987,6950868,1193098,8143966,216856034,3932633,3017373,862,7297497,846469
4/9/2021,India,Uttar Pradesh,36344993,654404,606063,9003,39338,7169348,1226853,8396201,216603799,4049576,3118869,903,7525888,870313
4/10/2021,India,Uttar Pradesh,36557245,663991,606646,9039,48306,7255753,1238088,8493841,216506159,4096709,3158131,913,7610009,883832
4/11/2021,India,Uttar Pradesh,36761069,676739,608853,9085,58801,7558409,1265684,8824093,216175907,4255205,3302238,966,7929808,894285
4/12/2021,India,Uttar Pradesh,36954537,692015,611622,9152,71241,8013755,1342857,9356612,215643388,4497208,3515475,1072,8449278,907334
4/13/2021,India,Uttar Pradesh,37173548,705619,614819,9224,81576,8329706,1388442,9718148,215281852,4677156,3651403,1147,8802147,916001
4/14/2021,India,Uttar Pradesh,37384344,723582,618293,9309,95980,8605823,1421804,10027627,214972373,4826390,3778235,1198,9103202,924425
4/15/2021,India,Uttar Pradesh,37590753,744021,622810,9376,111835,8790085,1482329,10272414,214727586,4930473,3858375,1237,9339216,933198
4/16/2021,India,Uttar Pradesh,37814182,766360,627032,9480,129848,8978071,1559991,10538062,214461938,5036285,3940518,1268,9584413,953649
4/17/2021,India,Uttar Pradesh,38029865,793720,633461,9583,150676,9102301,1609896,10712197,214287803,5108217,3992782,1302,9738103,974094
4/18/2021,India,Uttar Pradesh,38266474,821054,641292,9703,170059,9106335,1612014,10718349,214281651,5110551,3994481,1303,9742887,975462
4/19/2021,India,Uttar Pradesh,38467016,851620,650333,9830,191457,9224739,1684314,10909053,214090947,5180547,4042875,1317,9912425,996628
4/20/2021,India,Uttar Pradesh,38666846,879831,661311,9997,208523,9356225,1764289,11120514,213879486,5259926,4094964,1335,10102121,1018393
4/21/2021,India,Uttar Pradesh,38892416,909405,675702,10159,223544,9449601,1809439,11259040,213740960,5313227,4134975,1399,10226929,1032111
4/22/2021,India,Uttar Pradesh,39089449,942511,689900,10346,242265,9563554,1877188,11440742,213559258,5377729,4184398,1427,10375553,1065189
4/23/2021,India,Uttar Pradesh,39314905,976765,706414,10541,259810,9679629,1943675,11623304,213376696,5443500,4234615,1514,10527915,1095389
4/24/2021,India,Uttar Pradesh,39540989,1013370,728980,10737,273653,9779700,1997222,11776922,213223078,5500723,4277413,1564,10662682,1114240
4/25/2021,India,Uttar Pradesh,39780573,1051314,752211,10959,288144,9783480,2000449,11783929,213216071,5502900,4279015,1565,10668940,1114989
4/26/2021,India,Uttar Pradesh,39957293,1086625,777844,11165,297616,9883742,2063635,11947377,213052623,5559233,4322917,1592,10813291,1134086
4/27/2021,India,Uttar Pradesh,40141354,1120176,804563,11414,304199,9953817,2107421,12061238,212938762,5598797,4353410,1610,10907242,1153996
4/28/2021,India,Uttar Pradesh,40328141,1153097,834961,11678,306458,10018842,2150199,12169041,212830959,5635333,4381884,1625,10994940,1174101
4/29/2021,India,Uttar Pradesh,40553875,1182848,870864,11943,300041,10125866,2228129,12353995,212646005,5695500,4428709,1657,11157035,1196960
4/30/2021,India,Uttar Pradesh,40798042,1217952,896477,12238,309237,10240750,2317056,12557806,212442194,5759852,4479210,1688,11327171,1230635
5/1/2021,India,Uttar Pradesh,41064661,1252324,928971,12570,310783,10331285,2369407,12700692,212299308,5813773,4515800,1712,11429063,1271629
5/2/2021,India,Uttar Pradesh,41362046,1282504,967797,12874,301833,10334346,2371091,12705437,212294563,5815570,4517064,1712,11433083,1272354
5/3/2021,India,Uttar Pradesh,41591659,1313361,1004447,13162,295752,10439785,2445210,12884995,212115005,5876658,4561356,1771,11568984,1316011
5/4/2021,India,Uttar Pradesh,41800223,1342413,1043134,13447,285832,10544891,2517744,13062635,211937365,5937921,4605162,1808,11704662,1357973
5/5/2021,India,Uttar Pradesh,42032261,1368183,1081817,13798,272568,10642247,2585759,13228006,211771994,5994986,4645434,1827,11829527,1398479
5/6/2021,India,Uttar Pradesh,42258373,1399294,1122669,14151,262474,10742503,2660032,13402535,211597465,6054233,4686425,1845,11961485,1441050
5/7/2021,India,Uttar Pradesh,42499776,1425916,1151571,14501,259844,10833025,2726932,13559957,211440043,6107405,4723751,1869,12080254,1479703
5/8/2021,India,Uttar Pradesh,42724305,1453679,1184688,14873,254118,10914754,2779994,13694748,211305252,6154586,4758280,1888,12179195,1515553
5/9/2021,India,Uttar Pradesh,42953900,1480315,1219409,15170,245736,10916895,2780682,13697577,211302423,6155890,4759115,1890,12180820,1516757
5/10/2021,India,Uttar Pradesh,43169533,1503490,1254045,15464,233981,11025900,2855153,13881053,211118947,6220403,4803566,1931,12334636,1546417
5/11/2021,India,Uttar Pradesh,43404184,1524767,1283754,15742,225271,11141255,2931791,14073046,210926954,6287885,4851408,1962,12501198,1571848
5/12/2021,India,Uttar Pradesh,43651487,1545212,1313112,16043,216057,11291626,3009286,14300912,210699088,6374550,4915068,2008,12699111,1601801
5/13/2021,India,Uttar Pradesh,43906523,1563235,1340251,16369,206615,11465614,3115860,14581474,210418526,6476440,4987124,2050,12937866,1643608
5/14/2021,India,Uttar Pradesh,44170366,1580980,1359676,16646,204658,11590929,3180260,14771189,210228811,6548660,5040182,2087,13093177,1678012
5/15/2021,India,Uttar Pradesh,44427447,1596627,1385855,16957,193815,11723371,3260235,14983606,210016394,6625417,5095812,2142,13271953,1711653
5/16/2021,India,Uttar Pradesh,44695189,1609140,1414259,17238,177643,11724458,3260460,14984918,210015082,6626107,5096208,2143,13272971,1711947
5/17/2021,India,Uttar Pradesh,44950523,1619645,1439096,17546,163003,11943385,3278851,15222236,209777764,6754499,5186665,2221,13469794,1752442
5/18/2021,India,Uttar Pradesh,45231090,1628990,1462141,17817,149032,12144409,3292052,15436461,209563539,6872146,5269970,2293,13652895,1783566
5/19/2021,India,Uttar Pradesh,45531018,1637663,1483249,18072,136342,12319537,3301629,15621166,209378834,6975620,5341562,2355,13811977,1809189
5/20/2021,India,Uttar Pradesh,45822509,1644849,1502918,18352,123579,12501172,3314585,15815757,209184243,7082792,5415953,2427,13977191,1838566
5/21/2021,India,Uttar Pradesh,46111719,1651530,1516508,18588,116434,12704166,3329882,16034048,208965952,7201633,5500032,2501,14161023,1873025
5/22/2021,India,Uttar Pradesh,46419134,1659212,1534176,18760,106276,12905372,3344746,16250118,208749882,7319575,5583222,2575,14343818,1906300
5/23/2021,India,Uttar Pradesh,46736818,1665176,1551716,18978,94482,12912199,3345370,16257569,208742431,7323562,5586060,2577,14350144,1907425
5/24/2021,India,Uttar Pradesh,47063616,1669891,1565802,19209,84880,13182141,3363625,16545766,208454234,7481900,5697573,2668,14611405,1934361
5/25/2021,India,Uttar Pradesh,47362430,1673785,1577720,19362,76703,13439732,3380014,16819746,208180254,7632152,5804799,2781,14862405,1957341
5/26/2021,India,Uttar Pradesh,47720703,1677508,1588161,19519,69828,13683971,3393340,17077311,207922689,7774770,5906320,2881,15099824,1977487
5/27/2021,India,Uttar Pradesh,48068524,1680684,1598701,19712,62271,13951426,3407186,17358612,207641388,7931523,6016874,3029,15360615,1997997
5/28/2021,India,Uttar Pradesh,48426572,1683865,1605696,19899,58270,14243858,3424348,17668206,207331794,8102589,6138104,3165,15646622,2021584
5/29/2021,India,Uttar Pradesh,48756628,1686138,1613841,20053,52244,14544503,3449797,17994300,207005700,8279433,6261789,3281,15939953,2054347
5/30/2021,India,Uttar Pradesh,49096724,1688152,1621743,20208,46201,14560582,3450329,18010911,206989089,8288250,6269049,3283,15955378,2055533
1/1/2021,India,Tamil Nadu,14258645,818014,797391,12122,8501,789,0,789,75999211,367,422,0,789,0
1/2/2021,India,Tamil Nadu,14321046,818935,798420,12135,8380,767,0,767,75999233,423,344,0,767,0
1/3/2021,India,Tamil Nadu,14382123,819845,799427,12146,8272,879,0,879,75999121,467,412,0,879,0
1/4/2021,India,Tamil Nadu,14442625,820712,800429,12156,8127,852,0,852,75999148,456,396,0,852,0
1/5/2021,India,Tamil Nadu,14502929,821550,801414,12166,7970,747,0,747,75999253,597,150,0,747,0
1/6/2021,India,Tamil Nadu,14566511,822370,802385,12177,7808,937,0,937,75999063,476,461,0,937,0
1/7/2021,India,Tamil Nadu,14630875,823181,803328,12188,7665,975,0,975,75999025,435,540,0,975,0
1/8/2021,India,Tamil Nadu,14695106,823986,804239,12200,7547,998,0,998,75999002,508,490,0,998,0
1/9/2021,India,Tamil Nadu,14760619,824776,805136,12208,7432,1032,0,1032,75998968,513,519,0,1032,0
1/10/2021,India,Tamil Nadu,14824699,825537,806018,12215,7304,1065,0,1065,75998935,579,486,0,1065,0
1/11/2021,India,Tamil Nadu,14885013,826261,806875,12222,7164,1065,0,1065,75998935,568,497,0,1065,0
1/12/2021,India,Tamil Nadu,14945576,826943,807744,12228,6971,1087,0,1087,75998913,586,501,0,1087,0
1/13/2021,India,Tamil Nadu,15008259,827614,808571,12236,6807,1089,0,1089,75998911,614,475,0,1089,0
1/14/2021,India,Tamil Nadu,15068940,828287,809392,12242,6653,1104,0,1104,75998896,676,428,0,1104,0
1/15/2021,India,Tamil Nadu,15124787,828952,810218,12246,6488,1170,0,1170,75998830,655,515,0,1170,5
1/16/2021,India,Tamil Nadu,15177094,829573,811023,12251,6299,1167,0,1167,75998833,622,545,0,1161,6
1/17/2021,India,Tamil Nadu,15229307,830183,811798,12257,6128,1745,0,1745,75998255,986,759,0,1716,29
1/18/2021,India,Tamil Nadu,15279808,830772,812568,12264,5940,2861,0,2861,75997139,1623,1238,0,2819,42
1/19/2021,India,Tamil Nadu,15331269,831323,813326,12272,5725,6154,0,6154,75993846,3106,3047,1,6043,111
1/20/2021,India,Tamil Nadu,15391518,831866,814098,12281,5487,9060,0,9060,75990940,4415,4644,1,8916,144
1/21/2021,India,Tamil Nadu,15452541,832415,814811,12290,5314,15654,0,15654,75984346,7117,8535,2,15427,227
1/22/2021,India,Tamil Nadu,15514693,833011,815516,12299,5196,23659,0,23659,75976341,10156,13501,2,23304,355
1/23/2021,India,Tamil Nadu,15577766,833585,816205,12307,5073,31127,0,31127,75968873,12969,18156,2,30617,510
1/24/2021,India,Tamil Nadu,15640385,834171,816878,12309,4984,35144,0,35144,75964856,14515,20627,2,34553,591
1/25/2021,India,Tamil Nadu,15696304,834740,817520,12316,4904,41396,0,41396,75958604,16981,24413,2,40656,740
1/26/2021,India,Tamil Nadu,15752119,835280,818147,12320,4813,46310,0,46310,75953690,18840,27468,2,45414,896
1/27/2021,India,Tamil Nadu,15808217,835803,818742,12325,4736,54195,0,54195,75945805,21749,32443,3,53110,1085
1/28/2021,India,Tamil Nadu,15860674,836315,819306,12333,4676,61290,0,61290,75938710,24459,36828,3,60043,1247
1/29/2021,India,Tamil Nadu,15913194,836818,819850,12339,4629,66918,0,66918,75933082,26589,40326,3,65587,1331
1/30/2021,India,Tamil Nadu,15965919,837327,820381,12345,4601,76934,0,76934,75923066,30095,46835,4,75439,1495
1/31/2021,India,Tamil Nadu,16019962,837832,820907,12350,4575,77809,0,77809,75922191,30421,47384,4,76304,1505
2/1/2021,India,Tamil Nadu,16071626,838340,821430,12356,4554,85002,0,85002,75914998,33125,51872,5,83396,1606
2/2/2021,India,Tamil Nadu,16123270,838842,821947,12363,4532,91094,0,91094,75908906,35237,55848,9,89396,1698
2/3/2021,India,Tamil Nadu,16176919,839352,822468,12367,4517,98750,0,98750,75901250,37955,60786,9,96901,1849
2/4/2021,India,Tamil Nadu,16228801,839866,823001,12371,4494,107904,0,107904,75892096,41292,66602,10,105938,1966
2/5/2021,India,Tamil Nadu,16281457,840360,823518,12375,4467,116857,0,116857,75883143,44626,72221,10,114781,2076
2/6/2021,India,Tamil Nadu,16334713,840849,824024,12379,4446,126381,0,126381,75873619,48140,78231,10,124070,2311
2/7/2021,India,Tamil Nadu,16388243,841326,824527,12382,4417,127289,0,127289,75872711,48498,78781,10,124978,2311
2/8/2021,India,Tamil Nadu,16439856,841797,825025,12383,4389,139024,0,139024,75860976,53116,85898,10,136209,2815
2/9/2021,India,Tamil Nadu,16491030,842261,825520,12387,4354,150915,0,150915,75849085,58479,92426,10,148002,2913
2/10/2021,India,Tamil Nadu,16544106,842730,826011,12391,4328,162412,0,162412,75837588,63699,98700,13,159396,3016
2/11/2021,India,Tamil Nadu,16599861,843209,826504,12396,4309,173368,0,173368,75826632,68191,105160,17,170270,3098
2/12/2021,India,Tamil Nadu,16655151,843690,826994,12402,4294,184565,0,184565,75815435,72869,111679,17,181387,3178
2/13/2021,India,Tamil Nadu,16709185,844173,827480,12408,4285,195203,667,195870,75804130,78068,117117,18,191824,3379
2/14/2021,India,Tamil Nadu,16762668,844650,827962,12413,4275,195796,671,196467,75803533,78339,117439,18,192417,3379
2/15/2021,India,Tamil Nadu,16813020,845120,828441,12419,4260,203921,1176,205097,75794903,81876,122027,18,200355,3566
2/16/2021,India,Tamil Nadu,16863820,845575,828918,12425,4232,213823,2141,215964,75784036,86510,127295,18,210150,3673
2/17/2021,India,Tamil Nadu,16916170,846026,829388,12432,4206,224158,3579,227737,75772263,91552,132587,19,220346,3812
2/18/2021,India,Tamil Nadu,16967271,846480,829850,12438,4192,228388,6024,234412,75765588,93924,134445,19,224583,3805
2/19/2021,India,Tamil Nadu,17019551,846937,830320,12444,4173,246203,10185,256388,75743612,101610,144574,19,242005,4198
2/20/2021,India,Tamil Nadu,17070597,847385,830787,12451,4147,255918,13955,269873,75730127,106312,149587,19,251501,4417
2/21/2021,India,Tamil Nadu,17120745,847823,831246,12457,4120,256365,14122,270487,75729513,106459,149887,19,251944,4421
2/22/2021,India,Tamil Nadu,17170947,848275,831706,12460,4109,262213,18634,280847,75719153,109222,152972,19,257634,4579
2/23/2021,India,Tamil Nadu,17222248,848724,832167,12466,4091,268486,23096,291582,75708418,112212,156254,20,263790,4696
2/24/2021,India,Tamil Nadu,17272643,849166,832620,12472,4074,273618,26986,300604,75699396,114927,158671,20,268805,4813
2/25/2021,India,Tamil Nadu,17323383,849629,833089,12478,4062,278432,30463,308895,75691105,117487,160925,20,273457,4975
2/26/2021,India,Tamil Nadu,17376129,850096,833560,12483,4053,284640,35326,319966,75680034,120753,163867,20,279418,5222
2/27/2021,India,Tamil Nadu,17428757,850577,834043,12488,4046,284640,35326,319966,75680034,120753,163867,20,279418,5222
2/28/2021,India,Tamil Nadu,17479572,851063,834534,12493,4036,284640,35326,319966,75680034,120753,163867,20,279418,5222
3/1/2021,India,Tamil Nadu,17529663,851542,835024,12496,4022,284640,35326,319966,75680034,120753,163867,20,279418,5222
3/2/2021,India,Tamil Nadu,17579872,852016,835506,12501,4009,315543,42057,357600,75642400,137641,177871,31,309657,5886
3/3/2021,India,Tamil Nadu,17630655,852478,835979,12502,3997,353429,47077,400506,75599494,157561,195834,34,346684,6745
3/4/2021,India,Tamil Nadu,17681361,852967,836473,12504,3990,404222,51387,455609,75544391,182650,221534,38,396276,7946
3/5/2021,India,Tamil Nadu,17736224,853449,836963,12508,3978,474441,57713,532154,75467846,217754,256643,44,464851,9590
3/6/2021,India,Tamil Nadu,17791275,853992,837525,12513,3954,554443,65172,619615,75380385,258536,295856,51,542706,11737
3/7/2021,India,Tamil Nadu,17846391,854554,838085,12517,3952,579008,67333,646341,75353659,270919,308034,55,566414,12594
3/8/2021,India,Tamil Nadu,17900716,855121,838606,12518,3997,658443,73749,732192,75267808,310214,348156,73,643859,14584
3/9/2021,India,Tamil Nadu,17955850,855677,839138,12521,4018,651487,81977,733464,75266536,345989,387396,79,717029,16381
3/10/2021,India,Tamil Nadu,18020932,856246,839648,12525,4073,729539,90669,820208,75179792,388583,431539,86,801509,18645
3/11/2021,India,Tamil Nadu,18086877,856246,839648,12525,4073,805176,100118,905294,75094706,431332,473866,96,884041,21190
3/12/2021,India,Tamil Nadu,18151986,856917,840180,12530,4207,887006,109541,996547,75003453,475299,521143,105,972671,23812
3/13/2021,India,Tamil Nadu,18217281,858272,841250,12539,4483,967045,119572,1086617,74913383,519700,566807,110,1059395,27158
3/14/2021,India,Tamil Nadu,18284550,858967,841762,12543,4662,987144,121140,1108284,74891716,531030,577143,111,1080010,28210
3/15/2021,India,Tamil Nadu,18349379,859726,842309,12547,4870,1075960,129543,1205503,74794497,579341,626045,117,1173195,32244
3/16/2021,India,Tamil Nadu,18413572,860562,842862,12551,5149,1282816,141027,1423843,74576157,620171,662519,126,1383033,40810
3/17/2021,India,Tamil Nadu,18485460,861429,843423,12556,5450,1429800,151758,1581558,74418442,697116,732543,141,1528181,53377
3/18/2021,India,Tamil Nadu,18557485,862374,843999,12564,5811,1533516,161823,1695339,74304661,751309,782055,152,1626868,68471
3/19/2021,India,Tamil Nadu,18630686,863363,844568,12573,6222,1642080,172869,1814949,74185051,807514,834405,161,1725535,89414
3/20/2021,India,Tamil Nadu,18705851,864450,845178,12582,6690,1757406,183762,1941168,74058832,866260,890975,171,1821373,119795
3/21/2021,India,Tamil Nadu,18781109,865693,845812,12590,7291,1801246,187310,1988556,74011444,888940,912132,174,1849622,138934
3/22/2021,India,Tamil Nadu,18854356,866982,846480,12599,7903,1889774,195592,2085366,73914634,935356,954239,179,1917095,168271
3/23/2021,India,Tamil Nadu,18930484,868367,847139,12609,8619,2011826,206091,2217917,73782083,999552,1012083,191,2000759,217158
3/24/2021,India,Tamil Nadu,19011118,869804,848041,12618,9145,2105533,211942,2317475,73682525,1049036,1056302,195,2058511,258964
3/25/2021,India,Tamil Nadu,19092221,871440,849064,12630,9746,2204055,218165,2422220,73577780,1100794,1103055,206,2126694,295526
3/26/2021,India,Tamil Nadu,19177274,873219,850091,12641,10487,2302650,225142,2527792,73472208,1152730,1149696,224,2204906,322886
3/27/2021,India,Tamil Nadu,19262447,875190,851222,12650,11318,2401267,230923,2632190,73367810,1203922,1197107,238,2286517,345673
3/28/2021,India,Tamil Nadu,19347797,877279,852463,12659,12157,2421436,231743,2653179,73346821,1214411,1206786,239,2302910,350269
3/29/2021,India,Tamil Nadu,19428501,879473,853733,12670,13070,2509568,238476,2748044,73251956,1258748,1250570,250,2381833,366211
3/30/2021,India,Tamil Nadu,19511655,881752,855085,12684,13983,2583284,246267,2829551,73170449,1295951,1287074,259,2450772,378779
3/31/2021,India,Tamil Nadu,19595368,884094,856548,12700,14846,2650411,255024,2905435,73094565,1329998,1320150,263,2514996,390439
4/1/2021,India,Tamil Nadu,19681244,886673,858075,12719,15879,2703180,262132,2965312,73034688,1357225,1345688,267,2566950,398362
4/2/2021,India,Tamil Nadu,19767310,889490,859709,12738,17043,2774534,272370,3046904,72953096,1393809,1380453,272,2636806,410098
4/3/2021,India,Tamil Nadu,19849388,892780,861424,12750,18606,2821427,280462,3101889,72898111,1418172,1402974,281,2684694,417195
4/4/2021,India,Tamil Nadu,19932179,896226,863258,12764,20204,2855222,286662,3141884,72858116,1435695,1419242,285,2718457,423427
4/5/2021,India,Tamil Nadu,20012235,899807,865071,12778,21958,2892174,294913,3187087,72812913,1454548,1437337,289,2757774,429313
4/6/2021,India,Tamil Nadu,20093091,903479,866913,12789,23777,2918808,300551,3219359,72780641,1468052,1450465,291,2785045,434314
4/7/2021,India,Tamil Nadu,20173626,907124,868722,12804,25598,2967647,312890,3280537,72719463,1492854,1474497,296,2837018,443519
4/8/2021,India,Tamil Nadu,20258907,911110,870546,12821,27743,3061151,339773,3400924,72599076,1540934,1519910,307,2941585,459339
4/9/2021,India,Tamil Nadu,20347042,915386,872415,12840,30131,3166812,365634,3532446,72467554,1598360,1568125,327,3056564,475882
4/10/2021,India,Tamil Nadu,20431588,920827,874305,12863,33659,3274164,391131,3665295,72334705,1657055,1616775,334,3173039,492256
4/11/2021,India,Tamil Nadu,20520126,926816,876257,12886,37673,3316055,398627,3714682,72285318,1680666,1635052,337,3214497,500185
4/12/2021,India,Tamil Nadu,20603108,933434,878571,12908,41955,3449290,430938,3880228,72119772,1753902,1695027,361,3363028,517200
4/13/2021,India,Tamil Nadu,20686440,940145,880910,12927,46308,3565954,453372,4019326,71980674,1821956,1743614,384,3486913,532413
4/14/2021,India,Tamil Nadu,20784108,947129,884199,12945,49985,3641043,469082,4110125,71889875,1866609,1774045,389,3567454,542671
4/15/2021,India,Tamil Nadu,20879495,954948,887663,12970,54315,3801731,514054,4315785,71684215,1953686,1847635,410,3751831,563954
4/16/2021,India,Tamil Nadu,20976696,962935,891839,12999,58097,3966587,562249,4528836,71471164,2043812,1922344,431,3938373,590463
4/17/2021,India,Tamil Nadu,21077500,971384,896759,13032,61593,4063643,605401,4669044,71330956,2096168,1967033,442,4055687,613357
4/18/2021,India,Tamil Nadu,21187630,980728,902022,13071,65635,4090953,619909,4710862,71289138,2110947,1979559,447,4086524,624338
4/19/2021,India,Tamil Nadu,21299220,991451,907947,13113,70391,4147072,666304,4813376,71186624,2140772,2005846,454,4159105,654271
4/20/2021,India,Tamil Nadu,21400549,1002392,914119,13157,75116,4187565,704499,4892064,71107936,2162999,2024108,458,4209660,682404
